id,size_name,sort_order
size_order_001,XS,1
size_order_002,S,2
size_order_003,M,3
size_order_004,L,4
size_order_005,XL,5
size_order_006,XXL,6
size_order_007,XXXL,7
size_order_008,XXXXL,8
size_order_009,5XL,9
size_order_010,6XL,10
size_order_011,G-S,11
size_order_012,G-M,12
size_order_013,G-L,13
size_order_014,WM,14
size_order_015,WL,15
size_order_016,F,16
size_order_017,90,17
size_order_018,100,18
size_order_019,110,19
size_order_020,120,20
size_order_021,130,21
size_order_022,140,22
size_order_023,150,23
size_order_024,160,24

